Approved symbol	Ensembl gene ID
ADGRE3	ENSG00000131355
ADGRE4P	ENSG00000268758
ADGRE5	ENSG00000123146
ADGRF1	ENSG00000153292
ADGRF2	ENSG00000164393
ADGRF3	ENSG00000173567
ADGRF4	ENSG00000153294
ADGRF5	ENSG00000069122
ADGRG1	ENSG00000205336
ADGRG5	ENSG00000159618
ADGRG6	ENSG00000112414
ADGRG7	ENSG00000144820
ADGRL2	ENSG00000117114
ADGRL3	ENSG00000150471
ADGRL3-AS1	ENSG00000248692
ADGRL4	ENSG00000162618
ADGRV1	ENSG00000164199
ADH1A	ENSG00000187758
ADH1B	ENSG00000196616
ADH1C	ENSG00000248144
ADH4	ENSG00000198099
ADH5	ENSG00000197894
ADH5P2	ENSG00000232676
ADH5P4	ENSG00000233859
ADH6	ENSG00000172955
ADH7	ENSG00000196344
ADHFE1	ENSG00000147576
ADI1P2	ENSG00000250684
ADIG	ENSG00000182035
ADIPOQ	ENSG00000181092
ADIPOQ-AS1	ENSG00000226482
ADIPOR1	ENSG00000159346
ADIPOR1P1	ENSG00000232497
ADIPOR2	ENSG00000006831
ADIRF	ENSG00000148671
ADIRF-AS1	ENSG00000272734
ADK	ENSG00000156110
ADM	ENSG00000148926
ADNP	ENSG00000101126
ADNP-AS1	ENSG00000259456
ADNP2	ENSG00000101544
ADO	ENSG00000181915
ADORA1	ENSG00000163485
ADORA2A	ENSG00000128271
ADORA2A-AS1	ENSG00000178803
ADORA2B	ENSG00000170425
ADORA2BP1	ENSG00000236136
ADORA3	ENSG00000282608
ADPGK	ENSG00000159322
ADPGK-AS1	ENSG00000260898
ADPRH	ENSG00000144843
ADPRHL1	ENSG00000153531
ADPRHL2	ENSG00000116863
ADPRM	ENSG00000170222
ADRA1A	ENSG00000120907
ADRA1B	ENSG00000170214
ADRA1D	ENSG00000171873
ADRA2A	ENSG00000150594
ADRA2B	ENSG00000274286
ADRB1	ENSG00000043591
ADRB2	ENSG00000169252
ADSL	ENSG00000239900
ADSS	ENSG00000035687
ADTRP	ENSG00000111863
AEBP2	ENSG00000139154
AEN	ENSG00000181026
AFAP1	ENSG00000196526
AFAP1-AS1	ENSG00000272620
AFAP1L1	ENSG00000157510
AFAP1L2	ENSG00000169129
AFDN	ENSG00000130396
AFF1	ENSG00000172493
AFF3	ENSG00000144218
AFF4	ENSG00000072364
AFG1L	ENSG00000135537
AFG3L1P	ENSG00000223959
AFG3L2	ENSG00000141385
AFM	ENSG00000079557
AFMID	ENSG00000183077
AFP	ENSG00000081051
AFTPH	ENSG00000119844
AGA	ENSG00000038002
AGAP1	ENSG00000157985
AGAP2	ENSG00000135439
AGAP3	ENSG00000133612
AGBL1	ENSG00000273540
AGBL1-AS1	ENSG00000260125
AGBL2	ENSG00000165923
AGBL3	ENSG00000146856
AGBL4	ENSG00000186094
AGBL4-IT1	ENSG00000225623
AGBL5	ENSG00000084693
AGBL5-AS1	ENSG00000231636
AGER	ENSG00000204305
AGFG1	ENSG00000173744
AGFG2	ENSG00000106351
AGGF1	ENSG00000164252
AGK	ENSG00000006530
AGL	ENSG00000162688
AGMAT	ENSG00000116771
AGMO	ENSG00000187546
AGO1	ENSG00000092847
AGO2	ENSG00000123908
AGO3	ENSG00000126070
AGO4	ENSG00000134698
AGPAT1	ENSG00000204310
AGPAT3	ENSG00000160216
AGPAT4	ENSG00000026652
AGPAT4-IT1	ENSG00000279355
AGPAT5	ENSG00000155189
AGPS	ENSG00000018510
AGR2	ENSG00000106541
AGR3	ENSG00000173467
AGRP	ENSG00000159723
AGT	ENSG00000135744
AGTPBP1	ENSG00000135049
AGTR1	ENSG00000144891
AGTRAP	ENSG00000177674
AGXT	ENSG00000172482
AGXT2	ENSG00000113492
AHCTF1	ENSG00000153207
AHCY	ENSG00000101444
AHCYL1	ENSG00000168710
AHCYL2	ENSG00000158467
AHCYP2	ENSG00000238181
AHCYP3	ENSG00000233955
AHCYP4	ENSG00000232992
AHCYP7	ENSG00000259465
AHDC1	ENSG00000126705
AHI1	ENSG00000135541
AHNAK	ENSG00000124942
AHR	ENSG00000106546
AHRR	ENSG00000063438
AHSA1	ENSG00000100591
AHSA2P	ENSG00000173209
AHSG	ENSG00000145192
AHSP	ENSG00000169877
AICDA	ENSG00000111732
AIDA	ENSG00000186063
AIF1	ENSG00000204472
AIF1L	ENSG00000126878
AIFM1P1	ENSG00000225509
AIFM2	ENSG00000042286
AIG1	ENSG00000146416
AIM2	ENSG00000163568
AIMP1	ENSG00000164022
AIMP1P1	ENSG00000234187
AIMP2	ENSG00000106305
AIP	ENSG00000110711
AIPL1	ENSG00000129221
AIRN	ENSG00000268257
AJAP1	ENSG00000196581
AK1	ENSG00000106992
AK2	ENSG00000004455
AK3	ENSG00000147853
AK4	ENSG00000162433
AK4P5	ENSG00000217377
AK5	ENSG00000154027
AK6	ENSG00000085231
AK7	ENSG00000140057
AK8	ENSG00000165695
AK9	ENSG00000155085
AKAIN1	ENSG00000231824
AKAP1	ENSG00000121057
AKAP2	ENSG00000241978
AKAP3	ENSG00000111254
AKAP5	ENSG00000179841
AKAP6	ENSG00000151320
AKAP7	ENSG00000118507
AKAP8	ENSG00000105127
AKAP8L	ENSG00000011243
AKAP8P1	ENSG00000234146
AKAP9	ENSG00000127914
AKAP10	ENSG00000108599
AKAP11	ENSG00000023516
AKAP12	ENSG00000131016
AKAP13	ENSG00000170776
AKIP1	ENSG00000166452
AKIRIN1	ENSG00000174574
AKIRIN1P1	ENSG00000257786
AKIRIN2	ENSG00000135334
AKNA	ENSG00000106948
AKNAD1	ENSG00000162641
AKR1A1	ENSG00000117448
AKR1B1	ENSG00000085662
AKR1B1P4	ENSG00000237876
AKR1B10	ENSG00000198074
AKR1B15	ENSG00000227471
AKR1C1	ENSG00000187134
AKR1C2	ENSG00000151632
AKR1C3	ENSG00000196139
AKR1C4	ENSG00000198610
AKR1C5P	ENSG00000225418
AKR1C6P	ENSG00000151631
AKR1C7P	ENSG00000215267
AKR1C8P	ENSG00000264006
AKR1D1	ENSG00000122787
AKR1D1P1	ENSG00000227776
AKR1E2	ENSG00000165568
AKR7A2	ENSG00000053371
AKR7A3	ENSG00000162482
AKR7L	ENSG00000211454
AKT2	ENSG00000105221
AKT3	ENSG00000117020
AKTIP	ENSG00000166971
ALAD	ENSG00000148218
ALAS1	ENSG00000023330
ALB	ENSG00000163631
ALCAM	ENSG00000170017
ALDH1A1	ENSG00000165092
ALDH1A2	ENSG00000128918
ALDH1A3	ENSG00000184254
ALDH1L1	ENSG00000144908
ALDH1L1-AS1	ENSG00000250218
ALDH1L1-AS2	ENSG00000246022
ALDH1L2	ENSG00000136010
ALDH2	ENSG00000111275
ALDH3A1	ENSG00000108602
ALDH3A2	ENSG00000072210
ALDH3B2	ENSG00000132746
ALDH5A1	ENSG00000112294
ALDH6A1	ENSG00000119711
ALDH7A1	ENSG00000164904
ALDH7A1P1	ENSG00000251400
ALDH7A1P3	ENSG00000243853
ALDH8A1	ENSG00000118514
ALDH9A1	ENSG00000143149
ALDH16A1	ENSG00000161618
ALDH18A1	ENSG00000059573
ALDOAP1	ENSG00000242849
ALDOAP2	ENSG00000214297
ALDOB	ENSG00000136872
ALG1	ENSG00000033011
ALG1L13P	ENSG00000253981
ALG1L15P	ENSG00000242017
ALG3	ENSG00000214160
ALG3P1	ENSG00000251568
ALG5	ENSG00000120697
ALG6	ENSG00000088035
ALG8	ENSG00000159063
ALG9	ENSG00000086848
ALG9-IT1	ENSG00000254450
ALG10	ENSG00000139133
ALG10B	ENSG00000175548
ALG11	ENSG00000253710
ALG14	ENSG00000172339
ALK	ENSG00000171094
ALKAL1	ENSG00000196711
ALKAL2	ENSG00000189292
ALKBH1	ENSG00000100601
ALKBH2	ENSG00000189046
ALKBH3	ENSG00000166199
ALKBH3-AS1	ENSG00000244926
ALKBH5	ENSG00000091542
ALKBH8	ENSG00000137760
ALLC	ENSG00000151360
ALMS1	ENSG00000116127
ALMS1-IT1	ENSG00000230002
ALMS1P1	ENSG00000163016
ALOX5	ENSG00000012779
ALOX5AP	ENSG00000132965
ALOX12	ENSG00000108839
ALOX12-AS1	ENSG00000215067
ALOX12P1	ENSG00000264958
ALOX12P2	ENSG00000262943
ALOX15B	ENSG00000179593
ALOX15P1	ENSG00000274114
ALOX15P2	ENSG00000188101
ALOXE3	ENSG00000179148
ALPK1	ENSG00000073331
ALPK2	ENSG00000198796
ALPK3	ENSG00000136383
ALPL	ENSG00000162551
ALS2	ENSG00000003393
ALS2CR12	ENSG00000155749
ALX1	ENSG00000180318
ALX3	ENSG00000156150
ALX4	ENSG00000052850
AMACR	ENSG00000242110
AMBP	ENSG00000106927
AMBRA1	ENSG00000110497
AMD1	ENSG00000123505
AMD1P1	ENSG00000228339
AMDHD1	ENSG00000139344
AMFR	ENSG00000159461
AMHR2	ENSG00000135409
AMIGO1	ENSG00000181754
AMIGO3	ENSG00000176020
AMMECR1L	ENSG00000144233
AMN	ENSG00000166126
AMN1	ENSG00000151743
AMOTL1	ENSG00000166025
AMOTL2	ENSG00000114019
AMPD1	ENSG00000116748
AMPD3	ENSG00000133805
AMPH	ENSG00000078053
AMT	ENSG00000145020
AMTN	ENSG00000187689
AMY2B	ENSG00000240038
AMZ1	ENSG00000174945
AMZ2	ENSG00000196704
AMZ2P2	ENSG00000219249
ANAPC1	ENSG00000153107
ANAPC1P1	ENSG00000233673
ANAPC4	ENSG00000053900
ANAPC5	ENSG00000089053
ANAPC7	ENSG00000196510
ANAPC10	ENSG00000164162
ANAPC13	ENSG00000129055
ANAPC15	ENSG00000110200
ANAPC16	ENSG00000166295
ANG	ENSG00000214274
ANGEL1	ENSG00000013523
ANGEL2	ENSG00000174606
ANGPT1	ENSG00000154188
ANGPT2	ENSG00000091879
ANGPT4	ENSG00000101280
ANGPTL1	ENSG00000116194
ANGPTL2	ENSG00000136859
ANGPTL3	ENSG00000132855
ANGPTL5	ENSG00000187151
ANGPTL7	ENSG00000171819
ANK1	ENSG00000029534
ANK2	ENSG00000145362
ANK3	ENSG00000151150
ANK3-DT	ENSG00000254271
ANKAR	ENSG00000151687
ANKDD1A	ENSG00000166839
ANKDD1B	ENSG00000189045
ANKEF1	ENSG00000132623
ANKFN1	ENSG00000153930
ANKFY1	ENSG00000185722
ANKH	ENSG00000154122
ANKHD1	ENSG00000131503
ANKHD1-EIF4EBP3	ENSG00000254996
ANKIB1	ENSG00000001629
ANKK1	ENSG00000170209
ANKLE2	ENSG00000176915
ANKMY1	ENSG00000144504
ANKMY2	ENSG00000106524
ANKRA2	ENSG00000164331
ANKRD1	ENSG00000148677
ANKRD2	ENSG00000165887
ANKRD6	ENSG00000135299
ANKRD7	ENSG00000106013
ANKRD9	ENSG00000156381
ANKRD10	ENSG00000088448
ANKRD10-IT1	ENSG00000229152
ANKRD11	ENSG00000167522
ANKRD12	ENSG00000101745
ANKRD13A	ENSG00000076513
ANKRD13B	ENSG00000198720
ANKRD13C	ENSG00000118454
ANKRD13D	ENSG00000172932
ANKRD16	ENSG00000134461
ANKRD17	ENSG00000132466
ANKRD18A	ENSG00000180071
ANKRD18CP	ENSG00000159712
ANKRD18DP	ENSG00000226435
ANKRD18EP	ENSG00000217165
ANKRD19P	ENSG00000187984
ANKRD20A5P	ENSG00000186481
ANKRD20A10P	ENSG00000226695
ANKRD20A11P	ENSG00000215559
ANKRD22	ENSG00000152766
ANKRD23	ENSG00000163126
ANKRD26	ENSG00000107890
ANKRD26P1	ENSG00000261239
ANKRD26P2	ENSG00000235550
ANKRD26P3	ENSG00000237636
ANKRD26P4	ENSG00000229427
ANKRD27	ENSG00000105186
ANKRD28	ENSG00000206560
ANKRD29	ENSG00000154065
ANKRD30A	ENSG00000148513
ANKRD30B	ENSG00000180777
ANKRD30BP1	ENSG00000175302
ANKRD30BP3	ENSG00000230501
ANKRD31	ENSG00000145700
ANKRD33B	ENSG00000164236
ANKRD34A	ENSG00000272031
ANKRD34B	ENSG00000189127
ANKRD34C	ENSG00000235711
ANKRD34C-AS1	ENSG00000259234
ANKRD35	ENSG00000198483
ANKRD36	ENSG00000135976
ANKRD36B	ENSG00000196912
ANKRD36BP1	ENSG00000214262
ANKRD36BP2	ENSG00000230006
ANKRD36C	ENSG00000174501
ANKRD39	ENSG00000213337
ANKRD40	ENSG00000154945
ANKRD42	ENSG00000137494
ANKRD44	ENSG00000065413
ANKRD44-IT1	ENSG00000236977
ANKRD45	ENSG00000183831
ANKRD46	ENSG00000186106
ANKRD49	ENSG00000168876
ANKRD50	ENSG00000151458
ANKRD54	ENSG00000100124
ANKRD55	ENSG00000164512
ANKRD60	ENSG00000124227
ANKRD61	ENSG00000157999
ANKRD62	ENSG00000181626
ANKRD62P1	ENSG00000259271
ANKRD62P1-PARP4P3	ENSG00000189295
ANKRD66	ENSG00000230062
ANKS1A	ENSG00000064999
ANKS1B	ENSG00000185046
ANKS3	ENSG00000168096
ANKS4B	ENSG00000175311
ANKS6	ENSG00000165138
ANKUB1	ENSG00000206199
ANLN	ENSG00000011426
ANO1	ENSG00000131620
ANO2	ENSG00000047617
ANO3	ENSG00000134343
ANO4	ENSG00000151572
ANO5	ENSG00000171714
ANO6	ENSG00000177119
ANO7	ENSG00000146205
ANO7L1	ENSG00000237276
ANO10	ENSG00000160746
ANP32A	ENSG00000140350
ANP32AP1	ENSG00000259516
ANP32B	ENSG00000136938
ANP32BP3	ENSG00000259461
ANP32C	ENSG00000248546
ANP32D	ENSG00000139223
ANP32E	ENSG00000143401
ANPEP	ENSG00000166825
ANTXR1	ENSG00000169604
ANTXR2	ENSG00000163297
ANTXRL	ENSG00000274209
ANTXRLP1	ENSG00000263482
ANXA1	ENSG00000135046
ANXA2	ENSG00000182718
ANXA2P3	ENSG00000216740
ANXA2R	ENSG00000177721
ANXA3	ENSG00000138772
ANXA4	ENSG00000196975
ANXA5	ENSG00000164111
ANXA6	ENSG00000197043
ANXA7	ENSG00000138279
ANXA9	ENSG00000143412
ANXA10	ENSG00000109511
ANXA11	ENSG00000122359
ANXA13	ENSG00000104537
AOAH	ENSG00000136250
AOC1	ENSG00000002726
AOC2	ENSG00000131480
AOC3	ENSG00000131471
AOC4P	ENSG00000260105
AOPEP	ENSG00000148120
AOX1	ENSG00000138356
AOX2P	ENSG00000243478
AOX3P	ENSG00000244301
AOX3P-AOX2P	ENSG00000284084
AP1AR	ENSG00000138660
AP1B1	ENSG00000100280
AP1B1P1	ENSG00000234479
AP1G1	ENSG00000166747
AP1M1	ENSG00000072958
AP1M2	ENSG00000129354
AP1S1	ENSG00000106367
AP1S3	ENSG00000152056
AP2A2	ENSG00000183020
AP2B1	ENSG00000006125
AP2M1	ENSG00000161203
AP3B1	ENSG00000132842
AP3B2	ENSG00000103723
AP3M1	ENSG00000185009
AP3M2	ENSG00000070718
AP3S1	ENSG00000177879
AP3S2	ENSG00000157823
AP4B1	ENSG00000134262
AP4B1-AS1	ENSG00000226167
AP4E1	ENSG00000081014
AP4M1	ENSG00000221838
AP4S1	ENSG00000100478
AP5B1	ENSG00000254470
AP5M1	ENSG00000053770
AP5S1	ENSG00000125843
APAF1	ENSG00000120868
APBA1	ENSG00000107282
APBA2	ENSG00000034053
APBB1IP	ENSG00000077420
APBB2	ENSG00000163697
APBB3	ENSG00000113108
APC	ENSG00000134982
APCDD1	ENSG00000154856
APCDD1L	ENSG00000198768
APCDD1L-DT	ENSG00000231290
APCS	ENSG00000132703
APEH	ENSG00000164062
APELA	ENSG00000248329
APH1B	ENSG00000138613
API5	ENSG00000166181
API5P2	ENSG00000213962
APIP	ENSG00000149089
APLF	ENSG00000169621
APLNR	ENSG00000134817
APLP2	ENSG00000084234
APMAP	ENSG00000101474
APOA1	ENSG00000118137
APOA1-AS	ENSG00000235910
APOA4	ENSG00000110244
APOA5	ENSG00000110243
APOB	ENSG00000084674
APOBEC1	ENSG00000111701
APOBEC2	ENSG00000124701
APOBEC3A	ENSG00000128383
APOBEC3AP1	ENSG00000248822
APOBEC3D	ENSG00000243811
APOBEC3F	ENSG00000128394
APOBEC3H	ENSG00000100298
APOBEC4	ENSG00000173627
APOC1	ENSG00000130208
APOF	ENSG00000175336
APOH	ENSG00000091583
APOL1	ENSG00000100342
APOL2	ENSG00000128335
APOL3	ENSG00000128284
APOL4	ENSG00000100336
APOL5	ENSG00000128313
APOL6	ENSG00000221963
APOLD1	ENSG00000178878
APOM	ENSG00000204444
APOOP1	ENSG00000270560
APOOP5	ENSG00000260240
APOPT1	ENSG00000256053
APP	ENSG00000142192
APPBP2	ENSG00000062725
APPL1	ENSG00000157500
APPL2	ENSG00000136044
APRT	ENSG00000198931
APTR	ENSG00000214293
APTX	ENSG00000137074
AQP2	ENSG00000167580
AQP4	ENSG00000171885
AQP4-AS1	ENSG00000260372
AQP5	ENSG00000161798
AQP6	ENSG00000086159
AQP8	ENSG00000103375
AQP9	ENSG00000103569
AQP10	ENSG00000143595
AQP11	ENSG00000178301
AQR	ENSG00000021776
ARAP1	ENSG00000186635
ARAP1-AS1	ENSG00000256007
ARAP1-AS2	ENSG00000245148
ARAP2	ENSG00000047365
ARAP3	ENSG00000120318
ARCN1	ENSG00000095139
AREL1	ENSG00000119682
ARF1	ENSG00000143761
ARF1P2	ENSG00000213137
ARF3	ENSG00000134287
ARF4	ENSG00000168374
